gutenberg_id	updated	repo_name	repo_owner	datebuilt	version	ebooks_in_release_count	last_build_id	last_build_state	buildable	has_metadata	has_source	metadata_written
39	2016-08-07T14:33:08.224069-07:00	Hitchhiker-s-Guide-to-the-Internet_39	GITenberg	2016-08-05T18:37:11.470745-07:00	0.1.0	3	150207431	passed	True	True	True	2016-08-04T08:56:46.029237-07:00
41	2016-08-03T18:44:21.675713-07:00	The-Legend-of-Sleepy-Hollow_41	GITenberg	2016-07-27T18:39:35Z	0.1.1	3	147834941	passed	True	True	True	2016-08-03T18:44:21.675693-07:00
42	2016-08-03T18:44:21.675752-07:00	The-Strange-Case-of-Dr.-Jekyll-and-Mr.-Hyde_42	GITenberg	2016-07-27T21:34:44Z	0.2.1	3	147879519	passed	True	True	True	2016-08-03T18:44:21.675732-07:00
43	2016-08-07T14:33:10.865870-07:00	The-Strange-Case-of-Dr.-Jekyll-and-Mr.-Hyde_43	GITenberg	2016-08-05T18:37:19.983215-07:00	0.1.0	3	150207443	passed	True	True	True	2016-08-04T08:56:50.534090-07:00
44	2016-08-07T14:33:13.985455-07:00	The-Song-of-the-Lark_44	GITenberg	2016-08-05T18:37:26.125288-07:00	0.1.0	3	150207458	passed	True	True	True	2016-08-04T08:56:54.318600-07:00
45	2016-08-03T18:44:21.675791-07:00	Anne-of-Green-Gables_45	GITenberg	2016-07-27T18:35:46Z	0.1.0	3	147834805	passed	True	True	True	2016-08-03T18:44:21.675771-07:00
46	2016-08-03T18:44:21.675830-07:00	A-Christmas-Carol_46	GITenberg	2016-07-27T18:27:12Z	0.1.1	3	147833116	passed	True	True	True	2016-08-03T18:44:21.675810-07:00
47	2016-08-03T18:44:21.675869-07:00	Anne-of-Avonlea_47	GITenberg	2016-07-27T16:26:36Z	0.1.0	3	147804093	passed	True	True	True	2016-08-03T18:44:21.675849-07:00
48	2016-08-07T14:33:17.925869-07:00	The-1992-CIA-World-Factbook_48	GITenberg	2016-08-05T18:37:31.825177-07:00	0.1.0	3	150207478	passed	True	True	True	2016-08-04T08:56:57.088033-07:00
49	2016-08-07T14:33:20.863056-07:00	Surfing-the-Internet--An-Introduction--13-Version-2.0.2_49	GITenberg	2016-08-05T18:37:37.561776-07:00	0.1.0	3	150207492	passed	True	True	True	2016-08-04T08:57:00.569501-07:00
51	2016-08-03T18:44:21.675908-07:00	Anne-of-the-Island_51	GITenberg	2016-07-27T16:15:36Z	0.1.0	3	147802317	passed	True	True	True	2016-08-03T18:44:21.675888-07:00
53	2016-08-07T14:33:23.841943-07:00	Workshop-on-Electronic-Texts--Proceedings-9-10-June-1992_53	GITenberg	2016-08-05T18:37:43.100800-07:00	0.1.0	3	150207523	passed	True	True	True	2016-08-04T08:57:23.128477-07:00
54	2016-08-07T14:33:26.690810-07:00	The-Marvelous-Land-of-Oz_54	GITenberg	2016-08-05T18:37:49.802008-07:00	0.1.0	3	150207529	passed	True	True	True	2016-08-04T08:57:27.806948-07:00
55	2016-08-03T18:44:21.675947-07:00	The-Wonderful-Wizard-of-Oz_55	GITenberg	2016-07-27T20:56:23Z	0.2.1	3	147866433	passed	True	True	True	2016-08-03T18:44:21.675927-07:00
56	2016-08-07T14:33:30.854078-07:00	NREN-for-All--Insurmountable-Opportunity_56	GITenberg	2016-08-05T18:38:07.514667-07:00	0.1.0	3	150207595	passed	True	True	True	2016-08-04T08:57:30.213492-07:00
57	2016-08-07T14:33:33.899028-07:00	Aladdin-and-the-Magic-Lamp_57	GITenberg	2016-08-05T18:38:14.705634-07:00	0.1.0	3	150207607	passed	True	True	True	2016-08-04T08:57:33.372424-07:00
58	2016-08-07T14:33:36.939114-07:00	Paradise-Regained_58	GITenberg	2016-08-05T18:38:20.389044-07:00	0.1.0	3	150207609	passed	True	True	True	2016-08-04T08:57:39.111119-07:00
59	2016-08-07T14:33:39.879837-07:00	Discourse-on-the-Method-of-Rightly-Conducting-One-s-Reason-and-of-Seeking-Truth-in-the-Sciences_59	GITenberg	2016-08-05T18:38:27.140710-07:00	0.1.0	3	150207627	passed	True	True	True	2016-08-04T08:57:43.220747-07:00
60	2016-08-07T14:34:41.099338-07:00	The-Scarlet-Pimpernel_60	GITenberg	2016-08-05T18:38:33.636811-07:00	0.1.0	3	150207636	passed	True	True	True	2016-08-04T08:57:47.672162-07:00
61	2016-08-03T18:44:21.675986-07:00	The-Communist-Manifesto_61	GITenberg	2016-07-27T18:41:00Z	0.1.1	3	147834994	passed	True	True	True	2016-08-03T18:44:21.675966-07:00
62	2016-08-07T14:34:44.513645-07:00	A-Princess-of-Mars_62	GITenberg	2016-08-05T18:38:40.047679-07:00	0.1.0	3	150207638	passed	True	True	True	2016-08-04T08:57:50.372977-07:00
63	2016-08-07T14:34:47.513907-07:00	The-Number--e-_63	GITenberg	2016-08-05T18:45:27.485622-07:00	0.1.0	3	150208405	passed	True	True	True	2016-08-04T08:57:52.996026-07:00
64	2016-08-07T14:34:49.943657-07:00	The-Gods-of-Mars_64	GITenberg	2016-08-05T18:45:33.838155-07:00	0.1.0	3	150208432	passed	True	True	True	2016-08-04T08:57:55.381952-07:00
66	2016-08-07T14:34:52.790318-07:00	The-Dawn-of-Amateur-Radio-in-the-U.K.-and-Greece--a-personal-view_66	GITenberg	2016-08-05T18:45:40.485290-07:00	0.1.0	3	150208440	passed	True	True	True	2016-08-04T08:57:58.117430-07:00
67	2016-08-07T14:34:55.530519-07:00	The-Black-Experience-in-America_67	GITenberg	2016-08-05T18:45:46.496434-07:00	0.1.0	3	150208444	passed	True	True	True	2016-08-04T08:58:02.134645-07:00
68	2016-08-07T14:34:58.203312-07:00	Warlord-of-Mars_68	GITenberg	2016-08-05T18:45:52.435392-07:00	0.1.0	3	150208446	passed	True	True	True	2016-08-04T08:58:06.178319-07:00
69	2017-01-27T15:42:58.518567-08:00	The-32nd-Mersenne-PrimePredicted-by-Mersenne_69	GITenberg	2017-01-27T15:42:58.518387-08:00	0.1.0	0	150208451	errored	True	True	True	2016-08-04T08:58:09.763957-07:00
70	2016-08-07T14:35:03.731227-07:00	What-Is-Man--and-Other-Essays_70	GITenberg	2016-08-05T18:46:04.688008-07:00	0.1.0	3	150208457	passed	True	True	True	2016-08-04T08:58:12.864577-07:00
71	2016-08-07T14:35:06.787955-07:00	On-the-Duty-of-Civil-Disobedience_71	GITenberg	2016-08-05T18:46:11.910666-07:00	0.1.0	3	150208463	passed	True	True	True	2016-08-04T08:58:15.454690-07:00
72	2016-08-07T14:35:09.892933-07:00	Thuvia-Maid-of-Mars_72	GITenberg	2016-08-05T18:46:18.564774-07:00	0.1.0	3	150208476	passed	True	True	True	2016-08-04T08:58:18.013166-07:00
73	2016-08-03T18:44:21.676024-07:00	The-Red-Badge-of-Courage_73	GITenberg	2016-07-27T21:22:38Z	0.2.1	3	147877037	passed	True	True	True	2016-08-03T18:44:21.676005-07:00
74	2016-08-03T18:44:21.676063-07:00	The-Adventures-of-Tom-Sawyer_74	GITenberg	2016-07-27T18:04:13Z	0.1.0	3	147825898	passed	True	True	True	2016-08-03T18:44:21.676043-07:00
75	2016-08-07T14:35:13.244462-07:00	E-mail-101_75	GITenberg	2016-08-05T18:46:35.346476-07:00	0.1.0	3	150208522	passed	True	True	True	2016-08-04T08:58:20.777701-07:00
76	2016-08-03T18:44:21.676102-07:00	Adventures-of-Huckleberry-Finn_76	GITenberg	2016-07-27T21:44:27Z	0.2.5	3	147880541	passed	True	True	True	2016-08-03T18:44:21.676082-07:00
77	2016-08-03T18:44:21.676141-07:00	The-House-of-the-Seven-Gables_77	GITenberg	2016-07-27T18:28:17Z	0.1.1	3	147833127	passed	True	True	True	2016-08-03T18:44:21.676121-07:00
78	2016-08-03T18:44:21.676180-07:00	Tarzan-of-the-Apes_78	GITenberg	2016-07-27T16:20:29Z	0.1.0	3	147803428	passed	True	True	True	2016-08-03T18:44:21.676160-07:00
79	2016-08-07T14:35:15.778604-07:00	Terminal-Compromise_79	GITenberg	2016-08-05T18:46:42.789928-07:00	0.1.0	3	150208534	passed	True	True	True	2016-08-04T08:58:23.511552-07:00
80	2016-08-07T14:35:20.629680-07:00	The-Online-World_80	GITenberg	2016-08-05T18:46:48.488795-07:00	0.1.0	3	150208536	passed	True	True	True	2016-08-04T08:58:25.962794-07:00
81	2016-08-03T18:44:21.676219-07:00	The-Return-of-Tarzan_81	GITenberg	2016-07-27T16:11:47Z	0.1.0	3	147801979	passed	True	True	True	2016-08-03T18:44:21.676199-07:00
82	2016-08-07T14:35:24.618454-07:00	Ivanhoe--A-Romance_82	GITenberg	2016-08-05T18:46:54.425738-07:00	0.1.0	3	150208540	passed	True	True	True	2016-08-04T08:58:30.059487-07:00
83	2016-08-07T14:35:27.219971-07:00	From-the-Earth-to-the-Moon--and-Round-the-Moon_83	GITenberg	2016-08-05T18:47:00.005449-07:00	0.1.0	3	150208551	passed	True	True	True	2016-08-04T08:58:34.529088-07:00
